Participant_ID,probes,error_dial,latency_dial,unsure_dial,attn,lapses,n_error,n_delayed,fails,fail_rate,e_lift,f_lift,dominant_mode,rank,cum_fail_frac
04_RT,12,0.22676517,0.121660801216651,0.3198660333698697,0.23444062347213426,0,1,2,3,0.25,1.0478938,0.8901515289018298,error,19,0.7230769230769231
03_RT,12,0.21299316,0.15900368255026417,0.28597403835676144,0.2227468956879666,1,2,1,3,0.25,0.98425263,1.1633769439927661,latency,20,0.7461538461538462
35_RT,11,0.18099253,0.20295698924731181,0.3653887188326548,0.21902185317241785,0,3,3,5,0.45454545454545453,0.836376,1.4849686379928315,latency,21,0.7846153846153846
29_RT,12,0.21667264,0.13717828572486732,0.3149767534778976,0.2166726402938366,1,0,0,0,0.0,1.0012558,1.0036877905536126,latency,22,0.7846153846153846
28_RT,12,0.18998857,0.10796115428999396,0.26840041279669763,0.20364886241645785,0,1,0,1,0.08333333333333333,0.8779472,0.7899157788884558,error,23,0.7923076923076923
02_RT,12,0.1955842,0.13528493286256887,0.283091832842977,0.20028391773279627,0,2,4,5,0.4166666666666667,0.9038049,0.9898347587777956,latency,24,0.8307692307692308
18_RT,12,0.18300861,0.0983843264476389,0.25987724800064954,0.19196919150864136,1,1,1,2,0.16666666666666666,0.84569246,0.7198453218418913,error,25,0.8461538461538461
19_RT,12,0.17800821,0.08603153586904189,0.21108157221698745,0.18270794036265334,0,1,0,1,0.08333333333333333,0.82258534,0.6294640707751564,error,26,0.8538461538461538
20_RT,12,0.16264953,0.10226254480286738,0.2564705882352941,0.17161010998204404,0,2,2,3,0.25,0.75161207,0.7482209528076463,error,27,0.8769230769230769
31_RT,12,0.1615706,0.10693133499464746,0.3473775471286913,0.1705311690540617,1,0,1,1,0.08333333333333333,0.74662626,0.7823809343775039,latency,28,0.8846153846153846
10_RT,12,0.16815005,0.07666838324036206,0.2554633867276888,0.16815004187325636,0,3,2,3,0.25,0.7770302,0.5609570040419823,error,29,0.9076923076923077
12_RT,12,0.16119267,0.11818857899442876,0.22559339525283797,0.16734346023036373,1,0,0,0,0.0,0.74487984,0.8647464363092371,latency,30,0.9076923076923077
22_RT,12,0.15703894,0.04973118279569893,0.2615741987107581,0.15703893142441908,0,2,0,2,0.16666666666666666,0.72568524,0.3638664874551972,error,31,0.9230769230769231
27_RT,12,0.14916095,0.07908709142459744,0.18778533343161827,0.1491609544803699,0,1,2,3,0.25,0.6892806,0.5786538855899712,error,32,0.9461538461538461
17_RT,12,0.13229403,0.06172096506713743,0.1848856209150327,0.14125460619941407,0,1,0,1,0.08333333333333333,0.61133766,0.4515917277412222,error,33,0.9538461538461539
13_RT,12,0.10872668,0.10385667667805366,0.20770123839009288,0.1310019198793535,1,2,2,3,0.25,0.50243175,0.7598846843610926,latency,34,0.9769230769230769
05_RT,12,0.12958239,0.05276039159043492,0.19026730829631622,0.129582392051816,0,1,0,1,0.08333333333333333,0.59880704,0.3860301984700155,error,35,0.9846153846153847
26_RT,12,0.09556878,0.06317204301075269,0.2565632832080201,0.10452935892060451,0,2,0,2,0.16666666666666666,0.4416284,0.46220878136200716,latency,36,1.0
09_RT,12,0.04404762,0.07763601348098219,0.1916405330248041,0.08928934452844117,0,0,0,0,0.0,0.20354638,0.5680368319691863,latency,37,1.0
