Participant_ID,Route,evn,probe_label,seq,Question_Type,Target_Accuracy,Target_Latency,Target_Confidence,target_dwell,error_dial,latency_dial,unsure_dial,attn_risk,error_dial_recent,latency_dial_recent,unsure_dial_recent,attn_risk_recent,error_dial_prev,latency_dial_prev,unsure_dial_prev,attn_risk_prev,recent_flag,recent_sustained,recent_level,conf_prompt,conf_confirmed,overconf_flag,attn_risk_recent_adj,attn_risk_recent_adj_prev,recent_level_adj,is_error,is_delayed,is_unsure,any_fail,lapse
03_RT,3,1,R3Q1,4,Animal,0,1.957,7.0,0.0,0.20408164,0.20833333333333334,0.3,0.20833333333333334,0.15542092313989997,0.14298467340715776,0.2180921052631579,0.16107155664346706,0.10676020663231611,0.07763601348098219,0.1361842105263158,0.11380977995360075,0,0,Green,0,0,0,0.16107155664346706,0.11380977995360075,Green,1,0,0,1,0
03_RT,3,3,R3Q3,5,Sign,1,2.34,7.0,0.0,0.4390244,0.25,0.44,0.4390243887901306,0.2972226559650153,0.19649233670357888,0.32904605263157893,0.30004797271679884,0.15542092313989997,0.14298467340715776,0.2180921052631579,0.16107155664346706,1,0,Red,1,0,1,0.30004797271679884,0.16107155664346706,Red,0,0,0,0,0
03_RT,4,2,R4Q2,6,Sign,1,2.874,6.0,0.0,0.31111112,0.25,0.32608695652173914,0.31111112236976624,0.30416688916739076,0.22324616835178945,0.32756650457665903,0.30557954754328254,0.2972226559650153,0.19649233670357888,0.32904605263157893,0.30004797271679884,1,1,Red,1,0,1,0.30557954754328254,0.30004797271679884,Red,0,0,0,0,0
03_RT,4,3,R4Q3,7,Animal,1,3.406,4.0,0.047799999999999995,0.092857145,0.053763440860215055,0.3,0.09285714477300644,0.1985120169701986,0.13850480460600226,0.3137832522883295,0.1992183461581445,0.30416688916739076,0.22324616835178945,0.32756650457665903,0.30557954754328254,1,1,Amber,0,0,0,0.1992183461581445,0.30557954754328254,Amber,0,0,1,0,0
03_RT,5,1,R5Q1,8,Animal,1,1.107,6.0,0.0212,0.31111112,0.25,0.3,0.31111112236976624,0.2548115696699824,0.19425240230300111,0.30689162614416476,0.25516473426395536,0.1985120169701986,0.13850480460600226,0.3137832522883295,0.1992183461581445,1,1,Amber,0,0,0,0.25516473426395536,0.1992183461581445,Amber,0,0,0,0,0
03_RT,5,3,R5Q3,9,Sign,0,3.061,1.0,0.0,0.31111112,0.07142857142857142,0.3,0.31111112236976624,0.2829613460198743,0.13284048686578626,0.3034458130720824,0.2831379283168608,0.2548115696699824,0.19425240230300111,0.30689162614416476,0.25516473426395536,1,1,Red,1,1,0,0.4580908417082489,0.25516473426395536,Red,1,0,1,1,0
03_RT,6,1,R6Q1,10,Sign,1,2.224,7.0,0.0,0.092857145,0.14925373134328357,0.3,0.14925373134328357,0.18790924539644038,0.1410471091045349,0.30172290653604117,0.21619582983007218,0.2829613460198743,0.13284048686578626,0.3034458130720824,0.2831379283168608,1,1,Amber,0,0,0,0.3036722865257662,0.4580908417082489,Red,0,0,0,0,0
03_RT,6,3,R6Q3,11,Animal,1,1.898,4.0,0.0076,0.31111112,0.2692307692307692,0.3392857142857143,0.31111112236976624,0.2495101838831033,0.20513893916765208,0.32050431041087774,0.2636534760999192,0.18790924539644038,0.1410471091045349,0.30172290653604117,0.21619582983007218,1,1,Amber,0,0,0,0.3073917044477662,0.3036722865257662,Red,0,0,1,0,1
04_RT,1,1,R1Q1,0,Animal,1,2.6,4.0,0.0,0.31111112,0.25,0.3,0.31111112236976624,0.31111112236976624,0.25,0.3,0.31111112236976624,,,,,1,0,Red,1,1,0,0.6610169491525424,,Red,0,0,1,0,0
04_RT,1,3,R1Q3,1,Sign,1,2.38,4.0,0.0,0.4390244,0.25,0.3392857142857143,0.4390243887901306,0.3750677555799484,0.25,0.3196428571428571,0.3750677555799484,0.31111112236976624,0.25,0.3,0.31111112236976624,1,1,Red,1,1,0,0.6610169491525424,0.6610169491525424,Red,0,0,1,0,0
