blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes,set,pid,route,event,qtype,target,strategy,collision,flag5s,start_s,content_end_s,cue_s,ans_s,collision_s,fg_raw,lat_entered,GLITCH,latency_s,precue_fixation_0_1_n,apparent_lean_in_0_1_n,approach_to_board_0_3_n,line_departure_0_2_n,no_acquisition,approach,lean,linedep,dualzoom,visualID,folder,imu_rows,has_imu,roll_p95,pitch_p95,transl_p95,resting_lin
CLIP_302472,4.107,,0.0,,,0.0,1.0,1.0,major delay in turn,D,25_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,6.75,12.52,8.75,11.52,,4.107,,False,2.107,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R3_25,11989,True,2.145563645961991,3.1863859859285895,0.02903173681744154,0.017457849430434668
CLIP_307EDA,,0,1.0,,,0.0,0.0,0.0,,D,19_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,38.46,42.66,40.46,41.66,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_19,15814,True,2.6167133729499623,1.5384597441625827,0.032853101820244174,0.012788424752745697
CLIP_30994B,,0,1.0,,,0.0,0.0,0.0,,D,24_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,31.14,35.45,33.14,34.45,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_24,16359,True,4.973451633610145,3.320904513154854,0.047572424478876,0.015168075847085292
CLIP_341475,,0,1.0,,,0.0,0.0,0.0,,D,14_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,6.59,12.75,8.59,11.75,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_14,13640,True,7.293405139642672,9.585069336018638,0.1137673427618033,0.03418084473261671
CLIP_34F144,,0,1.0,,,0.0,0.0,0.0,,D,17_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,38.33,42.71,40.33,41.71,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_17,15599,True,3.6361313511065583,2.2950148405154525,0.05327874617711544,0.010135985985045422
CLIP_39F8B5,3.489,,0.0,,,0.0,1.0,1.0,stopped to read sign,D,04_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,14.67,22.19,16.67,21.19,,3.489,,False,1.489,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R3_04,19943,True,4.4711370619098325,3.766440011176821,0.07234569369127401,0.01316228147990417
CLIP_4097B9,3.190,,0.0,,,0.0,0.0,0.0,,D,25_RT,3,Q3,Sign,Markings,Not_Applicable,1,1,21.39,25.78,23.39,24.78,29.42,3.19,,False,1.19,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_25,11989,True,2.763335237303759,4.325580007939934,0.0719429782787245,0.017457849430434668
CLIP_444F9F,,,0.0,,,0.0,,0.0,Name from working memory,C,02_RT,2,Q1,Name,Name1,Working_Memory,1,0,24.59,28.22,26.59,30.99,28.32,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False,R2_02,40040,True,19.254615325361968,21.719497104703436,0.14605470555887687,0.009803979547889394
CLIP_44FB08,3.763,,0.0,,,0.0,1.0,1.0,slowed right down to see sign,D,37_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.12,14.82,10.12,13.82,,3.763,,False,1.763,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R3_37,14908,True,3.6110813317792374,5.11952350434509,0.05598377516991027,0.028208457176816387
CLIP_45EEA9,,,0.0,,,0.0,,0.0,Name from working memory,C,01_RT,2,Q1,Name,Name1,Working_Memory,0,0,5.09,10.99,7.09,9.99,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False,R2_01,94946,True,3.7890688188575288,3.270952993849619,0.06598325131122501,0.012076624441871582
